District,Model,MAE,MSE,RMSE
Killinochchi,ExponentialSmoothing,133.42089284864417,18095.99541288791,134.52135671664894
Killinochchi,RandomForest,9.575093381155881,383.75812145215065,19.589745313611168
Killinochchi,Prophet,27.78709905319674,854.0091929834275,29.223435680690034
Kurunegala,ARIMA,427.42987300284614,194152.93870399977,440.62789142767593
Kurunegala,ExponentialSmoothing,599.4853391664838,378342.3757527335,615.0954200388209
Kurunegala,RandomForest,58.33233730158728,13987.275364617068,118.26781203952775
Kurunegala,Prophet,386.21813405028075,168501.93419815108,410.48987100554757
Mannar,ARIMA,24.97192224272513,701.6936530704212,26.489500808252714
Mannar,ExponentialSmoothing,97.74956738030112,10033.751263030796,100.16861416147673
Mannar,RandomForest,10.48812037037037,685.103193132963,26.17447598583328
Mannar,Prophet,21.120859252670382,618.8656301925256,24.877010073409657
Matale,ARIMA,201.1097004501468,41010.03862505507,202.50935441370373
Matale,ExponentialSmoothing,750.6072110090541,571250.6677792751,755.8112646549237
Matale,RandomForest,38.64278661616161,6798.8336326918825,82.45504006846326
Matale,Prophet,156.25884286238337,27664.923337648273,166.32775877059208
Matara,ARIMA,223.44515337997996,51847.641163036984,227.70077110769077
Matara,ExponentialSmoothing,389.4742639755843,161101.74354846086,401.3748167840888
Matara,RandomForest,31.72520634920635,4479.713668514433,66.93066314115252
Matara,Prophet,271.78642809142684,83315.01719232982,288.64340836459405
Monaragala,ARIMA,1.4768415225860985,2.183894685018227,1.4778006242447683
Monaragala,ExponentialSmoothing,17.207702982435844,543.1549991446118,23.3056859831375
Monaragala,RandomForest,2.4948888888888896,6.236657296296297,2.4973300335150532
Monaragala,Prophet,93.51892903384947,9298.618451575707,96.42934434898801
Mulative,ARIMA,19.214576069991704,389.45521566397343,19.734619724331488
Mulative,ExponentialSmoothing,65.3308368806674,4452.931023965043,66.73028565775095
Mulative,RandomForest,6.825113756613756,266.12793284390483,16.313427991808002
Mulative,Prophet,22.365565290541056,519.0265405261493,22.78215399224027
N eliya,ARIMA,26.375438028052997,739.7308595353238,27.19799366746238
N eliya,ExponentialSmoothing,82.0430404991262,7318.323804443243,85.54720220114298
N eliya,RandomForest,12.207277777777776,515.7433664704744,22.709983850070753
N eliya,Prophet,34.01853691953594,1375.3707227496145,37.085990923118324
Polonnaruwa,ARIMA,38.65860516194261,1766.57788161669,42.03067786292163
Polonnaruwa,ExponentialSmoothing,89.09032763986532,8848.103733412476,94.06435952799804
Polonnaruwa,RandomForest,16.383763558201057,798.991559024152,28.266438739681234
Polonnaruwa,Prophet,47.099000040282476,2568.352322461939,50.678913982660866
Puttalama,ARIMA,354.4234946820361,133403.02061897924,365.2437824508163
Puttalama,ExponentialSmoothing,372.1079616571249,144842.69181782298,380.5820434779116
Puttalama,RandomForest,29.941000000000003,3594.041409230647,59.95032451313877
Puttalama,Prophet,257.59169670093564,72769.99263301205,269.759138182587
Rathnapura,ARIMA,153.93658366211014,29185.06969511168,170.83638282026368
Rathnapura,ExponentialSmoothing,428.55995012270256,195739.87013153892,442.42498814097166
Rathnapura,RandomForest,130.54494014550264,32256.700311558496,179.60150420182592
Rathnapura,Prophet,302.8585939876615,103931.12788265868,322.3835105625886
Trincomalee,ARIMA,224.37915767387025,54759.75412563339,234.00802149848067
Trincomalee,ExponentialSmoothing,1204.4937774579196,1593502.292529809,1262.3400067057246
Trincomalee,RandomForest,184.88627531265033,201611.29727424379,449.01146675140023
Trincomalee,Prophet,305.3058773154244,166373.92243003228,407.8895958835335
Vauniya,ARIMA,207.05387233888504,43440.87568288856,208.42474824955065
Vauniya,ExponentialSmoothing,521.6131176577198,300880.81846220244,548.5260417356704
Vauniya,RandomForest,19.610063161375663,1974.3119953465728,44.43323075521937
Vauniya,Prophet,55.94183735255546,3505.4640502284715,59.20695947461304
